query,expected_output,actual_output,context,retrieval_context,source_file
What is the AC-130J Ghostrider?,"A medium-sized, multi-engine, tactical aircraft equipped with various sensors and weapons for air-to-ground attack, developed by integrating a modular Precision Strike Package (PSP) onto existing MC-130J aircraft.",,"The DOT&E report describes the AC-130J as a tactical aircraft developed by integrating the PSP onto MC-130J aircraft, replacing refueling pods with weapon racks.",,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What is the purpose of the Precision Strike Package (PSP) on the AC-130J?,"To provide a modular weapons suite including a 30mm chain gun, wing-mounted GPS-guided Small Diameter Bombs, internally mounted Griffin laser-guided missiles, electro-optical/infrared sensors, and multiple video, data, and communication links.",,"The PSP is designed to enhance the AC-130J's capabilities by integrating various weapons and sensor systems, as detailed in the DOT&E report.",,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What incident occurred during the AC-130J's developmental testing in April 2015?,"An in-flight Class A mishap caused by a second departure from controlled flight, leading to the grounding of the only available test aircraft and truncating the already-delayed developmental test and evaluation (DT&E) and concurrent operational assessment (OA).	",,The DOT&E report mentions a Class A mishap in April 2015 that significantly impacted the testing schedule.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What was the outcome of the mishap involving Aircraft #1?,"Aircraft #1 was grounded after the mishap, and Aircraft #2 became the test article for the remainder of DT&E and one final OA flight.",,"Following the mishap, the testing responsibilities shifted to Aircraft #2, as noted in the DOT&E report.",,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What are the key features of the Block 10 AC-130J configuration?,"Includes a pallet-mounted 30mm chain gun, wing-mounted GPS-guided Small Diameter Bombs, internally mounted Griffin missiles, electro-optical/infrared sensors, and a dual-console Mission Operator Pallet (MOP) in the cargo bay.",,"The DOT&E report outlines the components of the Block 10 configuration, focusing on its weaponry and sensor systems.",,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What enhancements are expected in the Block 20 AC-130J configuration?,"Addition of a 105mm gun, pilot helmet-mounted tactical display, Large Aircraft Infrared Countermeasures, and an increase in aircrew from seven to nine members.",,The report details the planned upgrades in the Block 20 configuration to improve operational capabilities.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What survivability features are included in the AC-130J?,"Susceptibility reduction features like AN/ALR-56M radar warning receiver, AN/AAR-47(V)2 missile warning system, AN/ALE-47 countermeasure dispensing system, fuel system protection, redundant flight-critical components, and armor to protect the crew and oxygen supply.",,The DOT&E report lists the survivability enhancements incorporated into the AC-130J to protect against threats.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What was the status of the AC-130J's Initial Operational Test and Evaluation (IOT&E) as per the FY2015 report?,"Due to significant technical problems discovered during DT&E, the OA indicated the Block 10 AC-130J was at risk of not being ready for IOT&E. The program planned to conduct IOT&E in 3QFY17 on Block 20 aircraft.",,The report highlights concerns about the readiness of Block 10 for IOT&E and the subsequent decision to defer testing to Block 20.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What is the role of the Mission Operator Pallet (MOP) in the AC-130J?,"The MOP is a dual-console system in the cargo bay that controls all PSP subsystems with remote displays and control panels, including master arm and consent switches, and a gun trigger on the flight deck.",,The DOT&E report describes the MOP's function in managing the aircraft's weapon and sensor systems.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
"What are the planned future updates in Blocks 30, 40, and 50 of the AC-130J?","Expected to include a permanent Fire Control Officer station, additional radar for all-weather engagement capability, wing-mounted HELLFIRE missiles, laser-guided Small Diameter Bombs, and radio-frequency countermeasures.",,The report outlines the anticipated enhancements in future blocks to expand the AC-130J's capabilities.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
 What were the limitations on weapon employment during the Block 10 testing?,"Limitations were due to PSP integration problems, which affected the completion of the test plan during DT&E and OA.",,The DOT&E report notes that integration issues with the PSP led to constraints in weapon employment during testing.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What is the significance of the Operational Utility Evaluation (OUE) for the AC-130J?,The OUE on the Block 10 aircraft is intended to support an early fielding decision and a Low-Rate Initial Production decision at Milestone C in 3QFY16.,,The report mentions the OUE as a step towards early deployment and production decisions for the AC-130J.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
How does the AC-130J's PSP compare to earlier versions?,An earlier version of the PSP was developed and tested on several AC-130W aircraft since 2009 and fielded in 2010. The AC-130J integrates a modular PSP onto existing MC-130J aircraft.,,The DOT&E report provides background on the development and integration of the PSP in the AC-130J.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What were the testing activities conducted by the 18th Flight Test Squadron?,"Conducted an OA of the Block 10 AC-130J from October 2014 to July 2015, consisting of 12 sorties and 47 flight hours during the DT&E period.",,The report details the testing efforts by the 18th Flight Test Squadron during the specified period.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
What is the intended mission profile for the AC-130J?,"To provide persistent and precision strike operations for close air support and air interdiction missions, as well as battlespace wide area surveillance, target geo-location, and precision munition application.",,The DOT&E report outlines the mission objectives and operational roles envisioned for the AC-130J.,,https://www.dote.osd.mil/Portals/97/pub/reports/FY2015/af/2015ac-130j_ghostrider.pdf?ver=2019-08-22-110015-340
